02/Mar/2015, 15:19:36:986, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 02/Mar/2015, 15:20:02:487, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 02/Mar/2015, 15:20:38:778, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 02/Mar/2015, 15:21:39:594, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 02/Mar/2015, 15:23:37:008, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 12:40:48:199, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 12:41:14:228, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 12:41:34:263, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 14:09:10:282, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 14:09:29:168, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 15:58:37:123, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 15:59:06:391, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 15:59:29:193, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 17:42:14:464, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 18:07:14:394, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 03/Mar/2015, 18:46:37:213, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 12:49:27:180, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 12:49:35:576, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 12:55:54:441, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 13:12:30:142, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 13:13:00:042, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 13:13:04:389, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 13:14:49:590, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/Mar/2015, 17:42:32:291, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
